Hyperpar,AE_S1_WMAPE,AE_S1_Time,AE_S2_WMAPE,AE_S2_Time,AE_C1_WMAPE,AE_C1_Time,AE_C2_WMAPE,AE_C2_Time,AE_S3_WMAPE,AE_S3_Time,AE_S4_WMAPE,AE_S4_Time,AE_C3_WMAPE,AE_C3_Time,AE_C4_WMAPE,AE_C4_Time
dH1,0.1023,45.8,N/A,N/A,N/A,N/A,0.1691,48.0,,,,,,,,
dH2,0.0937,57.1,N/A,N/A,N/A,N/A,0.0862,106.3,,,,,,,,
dH3,0.0928,65.5,N/A,N/A,N/A,N/A,0.0734,191.0,,,,,,,,
dH4,0.0927,87.7,N/A,N/A,N/A,N/A,0.0834,145.4,,,,,,,,
dH5,0.0798,236.2,N/A,N/A,N/A,N/A,0.0766,317.8,,,,,,,,
dH1,,,,,,,,,0.3397,21.8,0.4060,7.5,N/A,N/A,N/A,N/A
dH2,,,,,,,,,0.3724,10.6,0.3522,19.8,N/A,N/A,N/A,N/A
dH3,,,,,,,,,0.3470,23.3,0.3170,50.9,N/A,N/A,N/A,N/A
dH4,,,,,,,,,0.3509,27.4,0.3485,40.1,N/A,N/A,N/A,N/A
dH5,,,,,,,,,0.3338,118.5,0.3546,100.4,N/A,N/A,N/A,N/A
