Net_arch,Hyperpar,AE_S1_WMAPE,AE_S1_Time,AE_C2_WMAPE,AE_C2_Time,AE_S4_WMAPE,AE_S4_Time,AE_C3_WMAPE,AE_C3_Time
M2_DNN,dH1,N/A,N/A,0.3487,8.9,,,,
M2_DNN,dH2,N/A,N/A,0.2719,23.1,,,,
M2_DNN,dH3,N/A,N/A,0.2389,58.1,,,,
M2_DNN,dH4,N/A,N/A,0.2287,123.2,,,,
M2_DNN,dH5,N/A,N/A,0.2089,250.1,,,,
M2_CNN,cH1,N/A,N/A,0.3397,60.3,,,,
M2_CNN,cH2,N/A,N/A,0.2912,156.3,,,,
M2_CNN,cH3,N/A,N/A,0.2745,326.1,,,,
M2_CNN,cH4,N/A,N/A,0.2768,850.4,,,,
M2_CNN,cH5,N/A,N/A,0.2766,3089.1,,,,
M2_DNN,dH1,,,,,0.3599,3.6,0.3485,7.3
M2_DNN,dH2,,,,,0.3033,5.3,0.5434,2.4
M2_DNN,dH3,,,,,0.4367,2.9,0.5620,2.9
M2_DNN,dH4,,,,,0.2765,16.5,0.2896,27.6
M2_DNN,dH5,,,,,0.3553,15.7,0.3277,32.9
M2_CNN,cH1,,,,,0.4614,4.6,0.5476,2.8
M2_CNN,cH2,,,,,0.3765,8.0,0.4519,11.2
M2_CNN,cH3,,,,,0.4011,8.8,0.2475,90.6
M2_CNN,cH4,,,,,0.3221,61.4,0.2920,187.8
M2_CNN,cH5,,,,,0.3289,187.4,0.2824,580.2
